source,target,similarity
Delgocitinib,Axitinib,0.947828114
Delgocitinib,Rogaratinib,0.926282763
Delgocitinib,Ibrutinib,0.92332375
Delgocitinib,Palbociclib,0.921275496
"However, increasing Mannose","contents, whereas Wheat",0.890108109
"However, increasing Mannose","Regarding interactions, Wheat",0.888687551
"However, increasing Mannose",with four Potassium,0.883227587
"However, increasing Mannose",mortality when Pea,0.882843971
"However, increasing Mannose","step, the Terpineol",0.878959596
of cation-independent Mannose,of an Inositol,0.87016654
of cation-independent Mannose,Maleic acid,0.869842172
of cation-independent Mannose,based on Lipoic acid,0.86964494
of cation-independent Mannose,"However, increasing Mannose",0.869322896
of cation-independent Mannose,of an Iodine,0.860678792
Bacillus subtilis,Bacillus cereus,0.942694068
Bacillus subtilis,Bacillus licheniformis,0.894662261
Bacillus subtilis,Streptococcus salivarius,0.883391023
Bacillus subtilis,Enterococcus faecium,0.871064186
Bacillus subtilis,Escherichia coli,0.869779646
Caffeine,Cadmium,0.885158241
Caffeine,Choline,0.883597732
Caffeine,Fenchone,0.883142114
Caffeine,Berberine,0.883060813
Caffeine,Ascorbic acid,0.880928159
Montelukast,Granisetron,0.899966598
Montelukast,ratio of Tucatinib,0.894513488
Montelukast,Ponatinib,0.892215073
Montelukast,for the Tucatinib,0.887474835
Montelukast,Rogaratinib,0.885076642
Cyclosporine,Vincristine,0.868899226
Cyclosporine,Dicloxacillin,0.857146978
Cyclosporine,Cisplatin,0.854915798
Cyclosporine,prevention of Cisplatin,0.839524686
Cyclosporine,of developing Cisplatin,0.83747071
Dapsone,dATP,0.92403084
Dapsone,Ranolazine,0.911735952
Dapsone,Tezacaftor,0.910554171
Dapsone,Lapachone,0.904993415
Dapsone,Xanthine,0.904303133
Hydroxychloroquine,Chlortetracycline,0.877966821
Hydroxychloroquine,5-Hydroxymethylfurfural,0.87770164
Hydroxychloroquine,"3-hydroxycarbofuran, deethyl Atrazine",0.860170722
Hydroxychloroquine,Metronidazole,0.858624518
Hydroxychloroquine,4-hydroxybenzoic acid,0.855078459
Acetate,Acetic acid,0.939893425
Acetate,Sodium Acetate,0.924481153
Acetate,Ammonia,0.918093026
Acetate,Urea,0.910504758
Acetate,Formic acid,0.905730546
Polyethylene glycol,Propylene glycol,0.958326221
Polyethylene glycol,Carboxymethylcellulose,0.877489567
Polyethylene glycol,Polyvinyl alcohol,0.866841435
Polyethylene glycol,Methylcellulose,0.844652653
Polyethylene glycol,Dodecyl sulfate,0.831815183
Triamcinolone,Chlortetracycline,0.897779107
Triamcinolone,Metronidazole,0.885217607
Triamcinolone,Methotrexate,0.878280997
Triamcinolone,Levocarnitine,0.876559734
Triamcinolone,Bicalutamide,0.875317693
Polysorbate 80,Polyvinyl alcohol,0.900204957
Polysorbate 80,Dextran,0.881733477
Polysorbate 80,Methylcellulose,0.881100714
Polysorbate 80,Pectin,0.879202068
Polysorbate 80,Prussian blue,0.873485565
Calcium,Potassium,0.937795639
Calcium,Zinc,0.906410694
Calcium,Silver,0.895955563
Calcium,Iron,0.895737052
Calcium,Betaine,0.88997674
Iron,Zinc,0.951993585
Iron,Copper,0.938446045
Iron,Hemin,0.926758349
Iron,Platinum,0.922163248
Iron,Potassium,0.916716576
Oxygen,Nitrogen,0.914707303
Oxygen,Ethanol,0.914432645
Oxygen,Hydrogen,0.908888817
Oxygen,Silicon,0.908550799
Oxygen,Iron,0.908329904
Parthenolide,Bempedoic acid,0.905707955
Parthenolide,Ergosterol,0.894056678
Parthenolide,Pomotrelvir,0.889900088
Parthenolide,Genipin,0.888271749
Parthenolide,Fisetin,0.88680011
Paclitaxel,response to Paclitaxel,0.964272439
Paclitaxel,highlight the Paclitaxel,0.963460088
Paclitaxel,Cisplatin,0.901965559
Paclitaxel,Lobaplatin,0.897372365
Paclitaxel,Carboplatin,0.897352576
Wheat,Potato,0.974619627
Wheat,Bean,0.972507298
Wheat,Rice,0.968069077
Wheat,Tomato,0.963937283
Wheat,Banana,0.958700359
Nitrogen,Rice,0.924260378
Nitrogen,Corn,0.924182355
Nitrogen,Bean,0.923786044
Nitrogen,Potato,0.921565294
Nitrogen,Water,0.921309471
"Regarding interactions, Wheat","However, increasing Mannose",0.888687551
"Regarding interactions, Wheat",effects of Iron,0.884492576
"Regarding interactions, Wheat",characteristics of Egg,0.884141266
"Regarding interactions, Wheat","contents, whereas Wheat",0.879025578
"Regarding interactions, Wheat",mortality when Pea,0.877947509
"contents, whereas Wheat",contents in Pea,0.898119152
"contents, whereas Wheat",content in Pea,0.891198754
"contents, whereas Wheat","However, increasing Mannose",0.890108109
"contents, whereas Wheat","Regarding interactions, Wheat",0.879025578
"contents, whereas Wheat",mortality when Pea,0.878656089
common bread Wheat,Strawberry,0.908070207
common bread Wheat,Barley,0.905519843
common bread Wheat,Rhamnose,0.890331745
common bread Wheat,Broccoli,0.890147507
common bread Wheat,Millet seed,0.8895818
Recombinant human Thrombopoietin,antibodies of Thrombopoietin,0.939729512
Recombinant human Thrombopoietin,chondrocytes in Fibrin,0.860806227
Recombinant human Thrombopoietin,Prothrombin,0.84355998
Recombinant human Thrombopoietin,Thyroglobulin,0.83476156
Recombinant human Thrombopoietin,catabolism of Norepinephrine,0.833557725
antibodies of Thrombopoietin,Recombinant human Thrombopoietin,0.939729512
antibodies of Thrombopoietin,Prothrombin,0.856018066
antibodies of Thrombopoietin,Thyroglobulin,0.84661895
antibodies of Thrombopoietin,chondrocytes in Fibrin,0.836668491
antibodies of Thrombopoietin,Plasminogen,0.836191654
Eltrombopag,Dapagliflozin,0.908989191
Eltrombopag,Enfortumab vedotin,0.907381415
Eltrombopag,Andexanet alfa,0.904834032
Eltrombopag,Olaparib,0.903158307
Eltrombopag,Rivaroxaban,0.902723491
Hydrogen,Oxygen,0.908888817
Hydrogen,Silicon,0.908041775
Hydrogen,Silver,0.900752544
Hydrogen,Iron,0.900567889
Hydrogen,Zinc,0.897304177
Fusarium graminearum,Fusarium oxysporum,0.922040403
Fusarium graminearum,Botrytis cinerea,0.878493428
Fusarium graminearum,Bacillus subtilis,0.852156162
Fusarium graminearum,Pseudomonas aeruginosa,0.849442005
Fusarium graminearum,Avibactam,0.843670368
Cadmium,Opium,0.902751625
Cadmium,Selenium,0.897619009
Cadmium,Chlorine,0.896869659
Cadmium,Chromium,0.891731262
Cadmium,Cesium,0.891057134
Chromium,Cobalt,0.924102366
Chromium,along with Chromium,0.923291802
Chromium,Selenium,0.907674909
Chromium,Cesium,0.906989038
Chromium,Iodine,0.906167388
than low-mineral Water,at low Selenium,0.895751476
than low-mineral Water,in relative Water,0.879318833
than low-mineral Water,million) for Ammonia,0.874050617
than low-mineral Water,of various Oxygen,0.871242881
than low-mineral Water,"However, increasing Mannose",0.869754732
AIV in Poultry,Poultry,0.928995073
AIV in Poultry,the global Poultry,0.915438592
AIV in Poultry,contents in Pea,0.895077109
AIV in Poultry,content in Pea,0.893666804
AIV in Poultry,in recognizing Florfenicol,0.885732889
the global Poultry,Poultry,0.925051928
the global Poultry,AIV in Poultry,0.915438592
the global Poultry,mortality when Pea,0.879004002
the global Poultry,content in Pea,0.870548308
the global Poultry,the lake Water,0.868672848
Tryptophan,Tryptophan into Indole,0.91442579
Tryptophan,concentration; and Tryptophan,0.91137141
Tryptophan,Methionine,0.902367711
Tryptophan,Leucine,0.898898661
Tryptophan,Alanine,0.894989789
Ketamine,Fentanyl,0.903217912
Ketamine,Propofol,0.902649164
Ketamine,Lidocaine,0.879020333
Ketamine,Remifentanil,0.868224382
Ketamine,Sertraline,0.861280739
Esketamine,Fenchone,0.915553331
Esketamine,Almond,0.914230824
Esketamine,Betaine,0.912748754
Esketamine,Xylazine,0.911111116
Esketamine,Thiram,0.909993052
Mangostin,Genipin,0.917598903
Mangostin,Psilocybin,0.908679605
Mangostin,Sakuranetin,0.900346577
Mangostin,Daidzin,0.894630909
Mangostin,Zanubrutinib,0.889682949
Tetrodotoxin,Acetylcholine,0.850477338
Tetrodotoxin,4-Nitrocatechol,0.842918992
Tetrodotoxin,Pilocarpine,0.842101991
Tetrodotoxin,Chlortetracycline,0.812121868
Tetrodotoxin,Nifedipine,0.808314204
Remimazolam,Carbazole,0.932200193
Remimazolam,Linezolid,0.915732861
Remimazolam,Omeprazole,0.914311588
Remimazolam,Azaperone,0.9093346
Remimazolam,Carbendazim,0.908927381
Remifentanil,Fentanyl,0.918842793
Remifentanil,Propofol,0.903457046
Remifentanil,before epidural Morphine,0.899397016
Remifentanil,of epidural Morphine,0.897009134
Remifentanil,Sevoflurane,0.890370429
Codeine,Betaine,0.927174211
Codeine,Opium,0.921041727
Codeine,Antimony,0.909138024
Codeine,Peanut,0.907512724
Codeine,Dapsone,0.903661668
Opium,Antimony,0.93884027
Opium,Peanut,0.931483924
Opium,Barium,0.931267321
Opium,Betaine,0.927366197
Opium,Almond,0.924057424
Zinc,Copper,0.965969443
Zinc,Iron,0.951993585
Zinc,Silver,0.948007464
Zinc,Potassium,0.93203187
Zinc,Platinum,0.928731441
Titanium,Cobalt,0.919211984
Titanium,Chromium,0.902680874
Titanium,Vanadium,0.888848901
Titanium,Graphite,0.887478352
Titanium,Iodine,0.880883098
Cobalt,Indium,0.941300333
Cobalt,Chromium,0.924102366
Cobalt,Titanium,0.919211984
Cobalt,Antimony,0.912582517
Cobalt,Barium,0.911260605
Angiotensin II,Aldosterone,0.897943914
Angiotensin II,Plasminogen,0.863697827
Angiotensin II,Norepinephrine,0.863289475
Angiotensin II,Losartan,0.845644593
Angiotensin II,catabolism of Norepinephrine,0.843399704
Aldosterone,Angiotensin II,0.897943914
Aldosterone,Losartan,0.858745217
Aldosterone,catabolism of Norepinephrine,0.858729184
Aldosterone,Ondansetron,0.858290911
Aldosterone,find elevated Norepinephrine,0.85790056
Vanadium,Cobalt,0.906053007
Vanadium,Chromium,0.893122554
Vanadium,Indium,0.891216278
Vanadium,Titanium,0.888848901
Vanadium,Cesium,0.866909027
Irinotecan,Carboplatin,0.918690443
Irinotecan,Cisplatin,0.906137288
Irinotecan,Lobaplatin,0.904768348
Irinotecan,Docetaxel,0.901899278
Irinotecan,Doxorubicin,0.897900939
SN-38,Esketamine,0.862523377
SN-38,dATP,0.857168674
SN-38,Serine,0.854171515
SN-38,Opium,0.853273869
SN-38,"However, increasing Mannose",0.852439165
Morphine,effects of Etorphine,0.936524034
Morphine,Buprenorphine,0.899685621
Morphine,Pilocarpine,0.891649187
Morphine,of epidural Morphine,0.889812112
Morphine,before epidural Morphine,0.887233317
Phenol,Bisphenol A,0.935084701
Phenol,Benzoic acid,0.896228552
Phenol,Silanol,0.896198273
Phenol,M-Cresol,0.893476963
Phenol,P-Cresol,0.892893434
Povidone,Perampanel,0.890960574
Povidone,Pomotrelvir,0.883615375
Povidone,Ponatinib,0.880666196
Povidone,Ritonavir,0.879471123
Povidone,Ranitidine,0.879241109
Arginine,Alanine,0.920802951
Arginine,Valine,0.913807869
Arginine,Asparagine,0.91292125
Arginine,Methionine,0.912646651
Arginine,Cysteine,0.899348974
Glutathione,Ascorbic acid,0.897082031
Glutathione,Cobalamin,0.872679472
Glutathione,Selenocysteine,0.858742297
Glutathione,Coenzyme A,0.849083066
Glutathione,Cysteine,0.848010004
Ascorbic acid,Glutathione,0.897082031
Ascorbic acid,Sulfuric acid,0.890001535
Ascorbic acid,Ferulic acid,0.884179115
Ascorbic acid,Caffeine,0.880928159
Ascorbic acid,Citric acid,0.880059719
Potato,Wheat,0.974619627
Potato,Bean,0.974025488
Potato,Tomato,0.973839045
Potato,Banana,0.971249461
Potato,Rice,0.970357418
Ammonia,Urea,0.940173626
Ammonia,Nitrate,0.932797194
Ammonia,Hemin,0.923261523
Ammonia,Acetate,0.918093026
Ammonia,Methane,0.917218089
Poultry,AIV in Poultry,0.928995073
Poultry,the global Poultry,0.925051928
Poultry,Strawberry,0.919825673
Poultry,Pea,0.914592803
Poultry,Peanut,0.911393166
broth or Wheat,Poultry,0.880040407
broth or Wheat,Broccoli,0.868753374
broth or Wheat,Vancomycin,0.867524743
broth or Wheat,Lactic acid,0.866422534
broth or Wheat,in vitro Calcium,0.865916193
more than Wheat,"contents, whereas Wheat",0.876003802
more than Wheat,composition of Egg,0.873110414
more than Wheat,characteristics of Egg,0.872856259
more than Wheat,"However, increasing Mannose",0.868149161
more than Wheat,content in Pea,0.866909981
Silicon,Coconut,0.935189307
Silicon,Corn,0.925465882
Silicon,Rice,0.92293644
Silicon,Silver,0.91321981
Silicon,Potassium,0.911337137
Calcitonin gene-related peptide,Recombinant human Thrombopoietin,0.820874155
Calcitonin gene-related peptide,catabolism of Norepinephrine,0.802073598
Calcitonin gene-related peptide,antibodies of Thrombopoietin,0.801794291
Calcitonin gene-related peptide,Vasopressin,0.797386169
Calcitonin gene-related peptide,Thyroglobulin,0.796061158
Trehalose,Thiram,0.894878864
Trehalose,Triclosan,0.89356482
Trehalose,Coumapho,0.892516077
Trehalose,Esketamine,0.889875174
Trehalose,Methoxsalen,0.885527015
Peach,Pea,0.958399177
Peach,Peanut,0.941408515
Peach,Barley,0.933404744
Peach,Strawberry,0.933261156
Peach,Almond,0.920968056
Carnosine,Sakuranetin,0.890303552
Carnosine,Uridine,0.887724102
Carnosine,Rhamnose,0.887015522
Carnosine,Thiamine,0.886496305
Carnosine,Xanthine,0.884667754
Cysteine,Selenocysteine,0.935970843
Cysteine,Lysine,0.926570415
Cysteine,Methionine,0.920320272
Cysteine,Tyrosine,0.905460596
Cysteine,Aspartic acid,0.903817236
Shrimp,Chicken,0.959955335
Shrimp,Apple,0.955841601
Shrimp,Rice,0.953943193
Shrimp,Banana,0.95165354
Shrimp,Coconut,0.950460434
Alanine,Valine,0.954007983
Alanine,Arginine,0.920802951
Alanine,Leucine,0.920644939
Alanine,Aspartic acid,0.920068383
Alanine,Lysine,0.916480303
Ibrutinib,Axitinib,0.943439424
Ibrutinib,Rogaratinib,0.936695397
Ibrutinib,Ivarmacitinib,0.935549438
Ibrutinib,Zanubrutinib,0.931168497
Ibrutinib,Crizotinib,0.927959085
Nitrite,Nitrate,0.950445831
Nitrite,Sulfuric acid,0.896099389
Nitrite,Ammonia,0.892543793
Nitrite,Carbon dioxide,0.877553523
Nitrite,Perchlorate,0.871863604
Nitrate,Nitrite,0.950445831
Nitrate,Ammonia,0.932797194
Nitrate,Urea,0.907351077
Nitrate,Acetate,0.905650675
Nitrate,Serine,0.897600293
Cucumber,Curcumin,0.893697679
Cucumber,Berberine,0.873626232
Cucumber,Pomegranate,0.872853994
Cucumber,Soybean,0.872735262
Cucumber,Millet seed,0.86815083
Escherichia coli,Enterococcus faecium,0.882112086
Escherichia coli,Bacillus subtilis,0.869779646
Escherichia coli,Bacillus cereus,0.864852607
Escherichia coli,Streptococcus salivarius,0.863932133
Escherichia coli,Erythromycin,0.863560557
Pectin,Gelatin,0.910344243
Pectin,Poultry,0.903068721
Pectin,Xylazine,0.90098083
Pectin,Almond,0.900419295
Pectin,Strawberry,0.897459924
Sucrose,Sodium Acetate,0.894310355
Sucrose,Lactic acid,0.893141925
Sucrose,Acetate,0.891470432
Sucrose,Sorbitol,0.885169983
Sucrose,Urea,0.879552007
Yeast,Apple,0.960978866
Yeast,Bean,0.954542398
Yeast,Banana,0.954071999
Yeast,Rice,0.95392102
Yeast,Potato,0.952567756
Inositol,of an Inositol,0.95551765
Inositol,Sorbitol,0.876539528
Inositol,Choline,0.850178003
Inositol,Cysteamine or Lipoic acid,0.835270584
Inositol,Pyridoxine,0.834466457
Zanubrutinib,Ibrutinib,0.931168497
Zanubrutinib,Ponatinib,0.918243706
Zanubrutinib,Rogaratinib,0.910163164
Zanubrutinib,Topiroxostat,0.904119253
Zanubrutinib,for the Tucatinib,0.902529061
Turmeric,Mescaline,0.895529091
Turmeric,Triclosan,0.892289817
Turmeric,Thiram,0.889118075
Turmeric,Silanol,0.883368313
Turmeric,Lapachone,0.880867362
Curcumin,Quercetin,0.943019986
Curcumin,Cucumber,0.893697679
Curcumin,Berberine,0.893037081
Curcumin,Ferulic acid,0.892525375
Curcumin,Sakuranetin,0.886812508
Chloroform,Hypochlorous acid,0.894688368
Chloroform,Isopropyl alcohol,0.888926029
Chloroform,1% and Water,0.878506184
Chloroform,Methylcellulose,0.874916673
Chloroform,Chlorine,0.87441361
Selenium,at low Selenium,0.933693826
Selenium,Chromium,0.907674909
Selenium,Selenocysteine,0.903620362
Selenium,Cesium,0.899453044
Selenium,Iodine,0.898392797
Selenocysteine,Cysteine,0.935970843
Selenocysteine,Selenium,0.903620362
Selenocysteine,Methionine,0.899162173
Selenocysteine,at low Selenium,0.893174469
Selenocysteine,Cysteamine or Lipoic acid,0.891358852
Leucine,Lysine,0.957102776
Leucine,Valine,0.928804159
Leucine,Alanine,0.920644939
Leucine,Glycine,0.907746553
Leucine,Aspartic acid,0.901888728
functions in Wheat,in the Yeast,0.91156435
functions in Wheat,content in Pea,0.889005184
functions in Wheat,Strawberry,0.884789705
functions in Wheat,effects of Iron,0.882155776
functions in Wheat,contents in Pea,0.879756808
improvement of Wheat,content in Pea,0.895223677
improvement of Wheat,Barley,0.892680466
improvement of Wheat,contents in Pea,0.88685286
improvement of Wheat,Strawberry,0.873797119
improvement of Wheat,Sorghum,0.870774508
Antimony,Opium,0.93884027
Antimony,Peanut,0.935352504
Antimony,Almond,0.931230843
Antimony,Barium,0.926652849
Antimony,Betaine,0.92476505
Indole,Imidazole,0.928285003
Indole,Aniline,0.886178613
Indole,4-Methylimidazole,0.87994647
Indole,Quinoline,0.877772868
Indole,Benzimidazole,0.877399683
Serotonin,Dopamine,0.912212491
Serotonin,in the Dopamine,0.89253509
Serotonin,of the Dopamine,0.891885638
Serotonin,Norepinephrine,0.877355099
Serotonin,Melatonin,0.865817666
co-administered with Tenofovir,that include Tenofovir,0.927160978
co-administered with Tenofovir,Ribavirin,0.87758863
co-administered with Tenofovir,Ritonavir,0.870172262
co-administered with Tenofovir,interaction between Florfenicol,0.865941882
co-administered with Tenofovir,Voriconazole,0.862428367
that include Tenofovir,co-administered with Tenofovir,0.927160978
that include Tenofovir,Ribavirin,0.895540237
that include Tenofovir,Ritonavir,0.876235008
that include Tenofovir,Rifampin,0.87069273
that include Tenofovir,Povidone,0.869814277
Dexamethasone,day before Methotrexate,0.873402536
Dexamethasone,Methotrexate,0.872342885
Dexamethasone,Triamcinolone,0.868558586
Dexamethasone,dose of Methotrexate,0.865309298
Dexamethasone,Mometasone,0.857047737
Lenalidomide,Bicalutamide,0.892968655
Lenalidomide,Amiodarone,0.855688512
Lenalidomide,Crizotinib,0.855333686
Lenalidomide,Lobaplatin,0.850174963
Lenalidomide,Irinotecan,0.850111365
Lettuce,Soybean,0.890459001
Lettuce,Barley,0.881287575
Lettuce,Broccoli,0.879424512
Lettuce,Millet seed,0.877820432
Lettuce,Pineapple,0.8764081
"1,3-Propanediol",4-Methylimidazole,0.886535645
"1,3-Propanediol",4-hydroxybenzoic acid,0.874060631
"1,3-Propanediol",Isopropyl alcohol,0.871783257
"1,3-Propanediol",4-Nitrocatechol,0.871516049
"1,3-Propanediol","1,10-Phenanthroline",0.869655907
Coconut,Rice,0.975191772
Coconut,Garlic,0.974187136
Coconut,Apple,0.967739105
Coconut,Honey,0.965487003
Coconut,Bean,0.96518141
Sorbitol,Pectin,0.890863419
Sorbitol,Xylazine,0.885802925
Sorbitol,Sucrose,0.885169983
Sorbitol,Maleic acid,0.877878606
Sorbitol,Sodium Acetate,0.877105713
Grape,Potato,0.964192331
Grape,Tomato,0.956523061
Grape,Bean,0.956299782
Grape,Apple,0.955365062
Grape,Wheat,0.955220342
5-Hydroxymethylfurfural,"3-hydroxycarbofuran, deethyl Atrazine",0.931796372
5-Hydroxymethylfurfural,4-hydroxybenzoic acid,0.925675392
5-Hydroxymethylfurfural,4-Methylimidazole,0.901968241
5-Hydroxymethylfurfural,Thiamphenicol,0.901794672
5-Hydroxymethylfurfural,in recognizing Florfenicol,0.89605999
Soybean,ratio in Soybean,0.947602808
Soybean,Sorghum,0.921191752
Soybean,Barley,0.892696619
Soybean,Lettuce,0.890459001
Soybean,Millet seed,0.881698072
Cisplatin,Carboplatin,0.963084102
Cisplatin,prevention of Cisplatin,0.962019205
Cisplatin,of developing Cisplatin,0.959552884
Cisplatin,Lobaplatin,0.948390007
Cisplatin,Irinotecan,0.906137288
Vincristine,Daunorubicin,0.889211833
Vincristine,Cisplatin,0.875974178
Vincristine,Carboplatin,0.873325348
Vincristine,of developing Cisplatin,0.869808435
Vincristine,Cyclosporine,0.868899226
Salicylic acid,Aminosalicylic acid,0.949241996
Salicylic acid,Citric acid,0.898619294
Salicylic acid,Sulfuric acid,0.889105201
Salicylic acid,Acetylsalicylic acid,0.888146043
Salicylic acid,Maleic acid,0.887455702
Formic acid,Maleic acid,0.966335356
Formic acid,Sulfuric acid,0.964811444
Formic acid,Peracetic acid,0.941628277
Formic acid,Acetic acid,0.939860344
Formic acid,Boric acid,0.927879751
Ranolazine,Ranitidine,0.950226963
Ranolazine,Linezolid,0.917006254
Ranolazine,Levocarnitine,0.91273129
Ranolazine,Dapsone,0.911735952
Ranolazine,Granisetron,0.909613192
Quercetin,Curcumin,0.943019986
Quercetin,Ergosterol,0.89191556
Quercetin,Berberine,0.890050411
Quercetin,Gingerol,0.886540234
Quercetin,components of Garlic,0.885462999
Alkaline Phosphatase,Peracetic acid,0.835631013
Alkaline Phosphatase,Aminobenzoic acid,0.831700265
Alkaline Phosphatase,Hyaluronidase,0.828053951
Alkaline Phosphatase,arsenic + Chromium,0.823237121
Alkaline Phosphatase,Trypsin,0.817717373
Dopamine,in the Dopamine,0.960185468
Dopamine,of the Dopamine,0.955449939
Dopamine,Serotonin,0.912212491
Dopamine,Acetylcholine,0.866037428
Dopamine,Morphine,0.864544809
Almond,Peanut,0.934344351
Almond,Oat,0.9335621
Almond,Strawberry,0.931363106
Almond,Antimony,0.931230843
Almond,Ginger,0.929767728
Olanzapine,Clozapine,0.955941856
Olanzapine,Fluoxetine,0.881372511
Olanzapine,Paroxetine,0.877099037
Olanzapine,Carbamazepine,0.871434331
Olanzapine,Sertraline,0.865274251
Aprepitant,Eltrombopag,0.881764054
Aprepitant,Ivacaftor,0.88054198
Aprepitant,Apixaban,0.877838373
Aprepitant,Repotrectinib,0.873380244
Aprepitant,Palbociclib,0.867564559
Metoclopramide,Valproic acid,0.872256458
Metoclopramide,Buprenorphine,0.86679709
Metoclopramide,Clozapine,0.857626677
Metoclopramide,Paroxetine,0.855395555
Metoclopramide,Sertraline,0.852540016
Ondansetron,Granisetron,0.941079438
Ondansetron,Dapagliflozin,0.889332592
Ondansetron,Albuterol,0.885658264
Ondansetron,Ranolazine,0.884927034
Ondansetron,Losartan,0.883982539
Granisetron,Ondansetron,0.941079438
Granisetron,Ranolazine,0.909613192
Granisetron,Ponatinib,0.9090482
Granisetron,Brivaracetam,0.908505142
Granisetron,Perampanel,0.905770659
Losartan,Carvedilol,0.914240479
Losartan,Ondansetron,0.883982539
Losartan,Granisetron,0.875280023
Losartan,Dabigatran,0.872993588
Losartan,Nifedipine,0.870332003
Telmisartan,Ondansetron,0.866930127
Telmisartan,Granisetron,0.858832121
Telmisartan,Montelukast,0.854676425
Telmisartan,Levetiracetam,0.853199482
Telmisartan,Dapagliflozin,0.852974296
Alternaria alternata,Ellagic acid,0.864845037
Alternaria alternata,Bempedoic acid,0.862544298
Alternaria alternata,Genipin,0.861483574
Alternaria alternata,Perampanel,0.851909637
Alternaria alternata,Astaxanthin,0.851231635
with four Potassium,Antimony,0.892801464
with four Potassium,Betaine,0.88798368
with four Potassium,Esketamine,0.887017369
with four Potassium,of various Oxygen,0.885296702
with four Potassium,"However, increasing Mannose",0.883227587
0 (no Potassium,"However, increasing Mannose",0.85664928
0 (no Potassium,1% and Water,0.856251717
0 (no Potassium,B2) and Daidzin,0.845986009
0 (no Potassium,of an Iodine,0.844097257
0 (no Potassium,with four Potassium,0.843287289
Potassium,Calcium,0.937795639
Potassium,Zinc,0.93203187
Potassium,Ethanol,0.926288128
Potassium,Rice,0.925273478
Potassium,Copper,0.921950459
