concept_i,concept_j,sentence_i,sentence_j,sim,contradiction_reason
Thrombin,Fibrin,"BACKGROUND
At sites of vessel injury, thrombin acts as the central mediator of coagulation by catalyzing fibrin clot formation and platelet activation.","Mice treated with both clopidogrel and rivaroxaban exhibited platelet and fibrin accumulation that was similar to that with either drug given alone; however, dual antithrombotic therapy resulted in impaired hemostasis at doses that had no impact on bleeding when given in isolation.


CONCLUSION
Combined administration of antiplatelet and anticoagulant therapeutics exacerbates bleeding as compared to that with either drug alone, potentially via combined loss of both adenosine 5'-diphosphate- and thrombin-mediated platelet activation.",0.923,در اولی ترومبین به‌عنوان عامل مرکزی و ضروری فعال‌سازی پلاکت و تشکیل فیبرین معرفی شده است، اما در دومی مهار هم‌زمان مسیر ترومبین (توسط ریواروکسابان) و مسیر ADP (توسط کلوپیدوگرل) منجر به تجمع طبیعی پلاکت و فیبرین می‌شود؛ یعنی با وجود مهار ترومبین، انتظار می‌رفت تجمع مختل شود، اما مشابه حالت طبیعی گزارش شده است — در نتیجه نقش حیاتی ترومبین در فعال‌سازی پلاکت در دو جمله به‌طور متناقض بیان شده است.
Daidzin,B2) and Daidzin,"However, the metabolic behavior of daidzin by intestinal flora has not been researched, that this defect severely constrains its applications.","Hereby, the fermentation systems of five probiotics (Lactobacillus 3044, Bifidobacterium adolescentis 1.2190, Bifidobacterium longum 25033, Lactobacillus plantarum F1 and Lactobacillus plantarum B2) and daidzin were approved, and these results showed that most metabolites of daidzin were able to be identified with the identical transformation reactions.",0.88,در اولی تأکید می‌شود متابولیسم دایدزین توسط فلور روده‌ای هنوز بررسی نشده و همین موضوع محدودکنندهٔ کاربرد آن است، اما در دومی گزارش می‌شود که سیستم‌های تخمیری با چند پروبیوتیک بررسی و متابولیت‌های دایدزین شناسایی شده‌اند؛ یعنی جملهٔ دوم وجود همان پژوهش را که جملهٔ اول نبودش را ادعا می‌کرد، تأیید می‌کند.
Daidzin,transformation of Daidzin,"However, the metabolic behavior of daidzin by intestinal flora has not been researched, that this defect severely constrains its applications.","Based on the results of intestinal flora, the daidzin and its metabolites transformed by the screened probiotics were quantified and qualified, which the results would corroborate the transformation of daidzin and fecal bacteria.",0.915,در اولی ادعا می‌شود متابولیسم دایدزین توسط فلور روده‌ای هنوز بررسی نشده و ناشناخته است، اما در دومی نتایج حاصل از فلور روده‌ای به‌عنوان مبنای شناسایی و سنجش متابولیت‌های دایدزین ذکر می‌شود؛ یعنی جملهٔ دوم وجود داده‌های تجربی از همان فرایندِ «بررسی‌شده» را تأیید می‌کند که جملهٔ اول آن را «بررسی‌نشده» دانسته بود.
"flora, the Daidzin",Daidzin,"Based on the results of intestinal flora, the daidzin and its metabolites transformed by the screened probiotics were quantified and qualified, which the results would corroborate the transformation of daidzin and fecal bacteria.","However, the metabolic behavior of daidzin by intestinal flora has not been researched, that this defect severely constrains its applications.",0.915,تناقض این‌جا در این است که یکی وجود داده‌های تجربی از فلور روده‌ای در متابولیسم دایدزین را تأیید می‌کند، درحالی‌که دیگری نبود چنین پژوهشی را ادعا می‌کند.
transformation of Daidzin,Daidzin,"Based on the results of intestinal flora, the daidzin and its metabolites transformed by the screened probiotics were quantified and qualified, which the results would corroborate the transformation of daidzin and fecal bacteria.","However, the metabolic behavior of daidzin by intestinal flora has not been researched, that this defect severely constrains its applications.",0.915,تناقض در این است که یکی تحول و متابولیسم دایدزین را اثبات‌شده می‌داند، و دیگری وجود همان تحول را منتفی می‌خواند.
B2) and Daidzin,Daidzin,"Hereby, the fermentation systems of five probiotics (Lactobacillus 3044, Bifidobacterium adolescentis 1.2190, Bifidobacterium longum 25033, Lactobacillus plantarum F1 and Lactobacillus plantarum B2) and daidzin were approved, and these results showed that most metabolites of daidzin were able to be identified with the identical transformation reactions.","However, the metabolic behavior of daidzin by intestinal flora has not been researched, that this defect severely constrains its applications.",0.88,تناقض این دو جمله در این است که جملهٔ اول می‌گوید متابولیسم و تبدیل دایدزین توسط چند پروبیوتیک بررسی و متابولیت‌های آن شناسایی شده‌اند، در حالی‌که جملهٔ دوم ادعا می‌کند رفتار متابولیکی دایدزین توسط فلور روده‌ای هنوز مورد تحقیق قرار نگرفته است؛ یعنی یکی وجود مطالعه را تأیید می‌کند و دیگری آن را نفی می‌کند.
Fibrin,Thrombin,"Platelet accumulation and fibrin deposition were evaluated using quantitative multiphoton fluorescence microscopy, and bleeding times were recorded.


RESULTS
Mice treated with clopidogrel alone exhibited a decrease in platelet accumulation at the site of injury, with prolonged bleeding times only at the highest doses of clopidogrel used.","Mice treated with both clopidogrel and rivaroxaban exhibited platelet and fibrin accumulation that was similar to that with either drug given alone; however, dual antithrombotic therapy resulted in impaired hemostasis at doses that had no impact on bleeding when given in isolation.


CONCLUSION
Combined administration of antiplatelet and anticoagulant therapeutics exacerbates bleeding as compared to that with either drug alone, potentially via combined loss of both adenosine 5'-diphosphate- and thrombin-mediated platelet activation.",0.965,تناقض این دو جمله در این است که در اولی کلوپیدوگرل به‌تنهایی فقط در دوزهای بالا باعث افزایش زمان خون‌ریزی می‌شود، در حالی‌که در دومی همان دارو در ترکیب با ریواروکسابان حتی در دوزهایی که به‌تنهایی اثری بر خون‌ریزی ندارند، موجب اختلال هموستاز و افزایش خون‌ریزی می‌گردد؛ یعنی اثر خفیف و دوز‌وابستهٔ کلوپیدوگرل در یکی، به اثری شدید و دوز‌غیر‌وابسته در حضور داروی دوم در دیگری تبدیل شده است.
Fibrin,Thrombin,Mice treated with rivaroxaban alone instead showed a reduction in fibrin deposition with no impact on bleeding.,"Mice treated with both clopidogrel and rivaroxaban exhibited platelet and fibrin accumulation that was similar to that with either drug given alone; however, dual antithrombotic therapy resulted in impaired hemostasis at doses that had no impact on bleeding when given in isolation.


CONCLUSION
Combined administration of antiplatelet and anticoagulant therapeutics exacerbates bleeding as compared to that with either drug alone, potentially via combined loss of both adenosine 5'-diphosphate- and thrombin-mediated platelet activation.",0.94,تناقض این دو جمله در این است که در اولی ریواروکسابان به‌تنهایی باعث کاهش رسوب فیبرین می‌شود بدون اینکه اثری بر خون‌ریزی داشته باشد، اما در دومی وقتی همین دارو همراه با کلوپیدوگرل داده می‌شود، تجمع پلاکت و فیبرین مشابه حالت تکی گزارش شده ولی خون‌ریزی به‌طور قابل‌توجهی افزایش می‌یابد؛ یعنی در یکی کاهش فیبرین بدون خون‌ریزی دیده می‌شود و در دیگری با وجود فیبرین طبیعی، خون‌ریزی شدیدتر رخ می‌دهد — که از نظر منطق فارماکودینامیک میان اثر ضدانعقادی و میزان خون‌ریزی، متناقض است.
Cholesterol,Creatinine,"Results The levels of ALT, AST and GGT, along with triglycerides, total cholesterol, LDL-C, and thrombocyte levels showed significant elevation (p=0.001, p<0.001, p<0.001, p=0.001, p<0.001, p<0.001, and p=0.003, respectively).","There were no significant changes in liver enzymes, thyroid function tests, serum urea, creatinine, and lipid profile during 1-year follow-up.",0.842,تناقض این دو جمله در این است که در اولی آنزیم‌های کبدی (ALT، AST، GGT) و شاخص‌های چربی خون (تری‌گلیسرید، کلسترول، LDL-C) به‌طور معناداری افزایش یافته‌اند، در حالی‌که در دومی هیچ تغییر معناداری در آنزیم‌های کبدی و پروفایل چربی طی یک سال پیگیری مشاهده نشده است؛ یعنی یکی وجود اختلال قابل‌توجه در عملکرد کبد و چربی خون را گزارش می‌کند و دیگری ثبات کامل این شاخص‌ها را.
Creatinine,Cholesterol,"Conversely, C-reactive protein (CRP), CD3 positive, CD8, creatinine, estradiol, follicle-stimulating hormone (FSH), free thyroxine, free triiodothyronine, glucose, insulin, insulin-like growth factor 1 (IGF-1), leptin, luteinizing hormone, lymphocyte, and prolactin levels were significantly lower in AN compared with those in non-AN controls.","We conducted two-level random-effects meta-analyses to examine the difference between AN and comparison groups across 52 distinct biomarkers and found that acylated ghrelin, adrenocorticotropic hormone (ACTH), carboxy-terminal collagen crosslinks (CTX), cholesterol, cortisol, des-acyl ghrelin, ghrelin, growth hormone (GH), obestatin, and soluble leptin receptor levels were significantly higher in cases of AN compared with those in non-AN controls.",0.957,تناقض این دو جمله در این است که در اولی سطوح لپتین در بیماران AN (بی‌اشتهایی عصبی) پایین‌تر از افراد سالم گزارش شده است، در حالی‌که در دومی سطح گیرنده محلول لپتین (soluble leptin receptor) در بیماران AN بالاتر گزارش شده است؛ یعنی یکی کاهش هورمون لپتین و دیگری افزایش گیرنده فعال‌کنندهٔ آن را نشان می‌دهد، که از نظر فیزیولوژیکی جهت اثرشان معکوس است و بیانگر یک تناقض در یافته‌های مربوط به محور لپتین در AN است.
Creatinine,Cholesterol,"There were no significant changes in liver enzymes, thyroid function tests, serum urea, creatinine, and lipid profile during 1-year follow-up.","Results The levels of ALT, AST and GGT, along with triglycerides, total cholesterol, LDL-C, and thrombocyte levels showed significant elevation (p=0.001, p<0.001, p<0.001, p=0.001, p<0.001, p<0.001, and p=0.003, respectively).",0.842,تناقض این دو جمله در این است که در اولی هیچ تغییر معناداری در آنزیم‌های کبدی و شاخص‌های چربی خون طی یک سال پیگیری گزارش نشده است، در حالی‌که در دومی همان آنزیم‌های کبدی (ALT، AST، GGT) و مؤلفه‌های لیپیدی (تری‌گلیسرید، کلسترول، LDL-C) به‌طور معنادار افزایش یافته‌اند؛ یعنی یکی ثبات کامل عملکرد کبد و چربی خون را نشان می‌دهد و دیگری اختلال و افزایش قابل‌توجه آن‌ها را.
Estradiol,Leptin,"Conversely, C-reactive protein (CRP), CD3 positive, CD8, creatinine, estradiol, follicle-stimulating hormone (FSH), free thyroxine, free triiodothyronine, glucose, insulin, insulin-like growth factor 1 (IGF-1), leptin, luteinizing hormone, lymphocyte, and prolactin levels were significantly lower in AN compared with those in non-AN controls.","We conducted two-level random-effects meta-analyses to examine the difference between AN and comparison groups across 52 distinct biomarkers and found that acylated ghrelin, adrenocorticotropic hormone (ACTH), carboxy-terminal collagen crosslinks (CTX), cholesterol, cortisol, des-acyl ghrelin, ghrelin, growth hormone (GH), obestatin, and soluble leptin receptor levels were significantly higher in cases of AN compared with those in non-AN controls.",0.957,تناقض این دو جمله در این است که در اولی سطح لپتین در بیماران مبتلا به بی‌اشتهایی عصبی (AN) پایین‌تر از گروه کنترل گزارش شده است، در حالی‌که در دومی سطح گیرنده محلول لپتین (soluble leptin receptor) در همین بیماران بالاتر از کنترل‌ها اعلام شده است؛ یعنی یکی کاهش هورمون لپتین و دیگری افزایش مولکولی را گزارش می‌کند که اثر فیزیولوژیکی معکوس آن را تقویت می‌کند، و در نتیجه جهت تغییرات محور لپتین میان دو گزارش متناقض است.
Amoxicillin,Rifampin,"As most of the GNB isolates are MDR and showed a super high rate of resistance to amoxicillin-clavulanic and third-generation cephalosporins, empirical treatment with these substances is virtually ineffective in patients with suspected GNB infection in Ethiopia.","Meropenem, ciprofloxacin, and amoxicillin-clavulanic acid were effective against gram-negative uropathogens, whereas rifampin and ciprofloxacin were the most sensitive drugs for gram-positive isolates.",0.941,تناقض این دو جمله در این است که در اولی آنتی‌بیوتیک آموکسی‌سیلین–کلاوولانیک به‌دلیل مقاومت بالای باکتری‌های گرم‌منفی (GNB) عملاً بی‌اثر و غیرقابل‌استفاده گزارش شده است، اما در دومی همین دارو در کنار مروپنم و سیپروفلوکساسین به‌عنوان داروی مؤثر علیه باکتری‌های گرم‌منفی معرفی شده است؛ یعنی یکی ناکارآمدی کامل و دیگری اثربخشی قابل‌توجه آموکسی‌سیلین–کلاوولانیک را در برابر همان گروه باکتری‌ها بیان می‌کند.
Fluconazole,Voriconazole,"furfur obtained from HIV-positive or negative patients, with or without seborrheic dermatitis.


MATERIALS AND METHODS
Assessment of isolates sensitivity to itraconazole, voriconazole, fluconazole, and amphotericin B was performed by two techniques: (1) Broth microdilution using Clinical and Laboratory Standards Institute (CLSI) protocol M27-A3 with modifications; and (2) agar tests using Etest®.


RESULTS
Isolates obtained from HIV patients showed an increase in the minimum inhibitory concentration of fluconazole, voriconazole, and amphotericin B, compared with those of non-HIV patients.","The isolated strains presented high minimal inhibitory concentration for fluconazole, while MICs for amphotericin B, voriconazole and echinocandins were low.",0.948,تناقض این دو جمله در این است که در اولی ایزوله‌های به‌دست‌آمده از بیماران HIV مثبت غلظت مهاری حداقل (MIC) بالاتری برای فلوکونازول، وریکونازول و آمفوتریسین B نشان داده‌اند یعنی نسبت به این داروها مقاوم‌تر بوده‌اند، در حالی‌که در دومی MIC برای آمفوتریسین B و وریکونازول پایین گزارش شده است یعنی حساسیت بالاتری نسبت به همین داروها وجود دارد؛ بنابراین یک متن از مقاومت و دیگری از حساسیت نسبت به همان داروها سخن می‌گوید.
Fluconazole,Voriconazole,"The isolated strains presented high minimal inhibitory concentration for fluconazole, while MICs for amphotericin B, voriconazole and echinocandins were low.","furfur obtained from HIV-positive or negative patients, with or without seborrheic dermatitis.


MATERIALS AND METHODS
Assessment of isolates sensitivity to itraconazole, voriconazole, fluconazole, and amphotericin B was performed by two techniques: (1) Broth microdilution using Clinical and Laboratory Standards Institute (CLSI) protocol M27-A3 with modifications; and (2) agar tests using Etest®.


RESULTS
Isolates obtained from HIV patients showed an increase in the minimum inhibitory concentration of fluconazole, voriconazole, and amphotericin B, compared with those of non-HIV patients.",0.948,تناقض این دو جمله در این است که در اولی سوش‌های جداشده MIC بالایی فقط برای فلوکونازول و MIC پایین برای آمفوتریسین B و وریکونازول نشان داده‌اند، یعنی نسبت به آمفوتریسین B و وریکونازول حساس بوده‌اند، اما در دومی ایزوله‌های به‌دست‌آمده از بیماران HIV مثبت MIC بالاتری برای همان داروها (فلوکونازول، وریکونازول و آمفوتریسین B) داشته‌اند، یعنی نسبت به آن‌ها مقاوم‌تر بوده‌اند؛ در نتیجه یکی حساسیت و دیگری مقاومت به همان داروها را گزارش می‌کند.
Fluconazole,Itraconazole,"The isolated strains presented high minimal inhibitory concentration for fluconazole, while MICs for amphotericin B, voriconazole and echinocandins were low.","furfur obtained from HIV-positive or negative patients, with or without seborrheic dermatitis.


MATERIALS AND METHODS
Assessment of isolates sensitivity to itraconazole, voriconazole, fluconazole, and amphotericin B was performed by two techniques: (1) Broth microdilution using Clinical and Laboratory Standards Institute (CLSI) protocol M27-A3 with modifications; and (2) agar tests using Etest®.


RESULTS
Isolates obtained from HIV patients showed an increase in the minimum inhibitory concentration of fluconazole, voriconazole, and amphotericin B, compared with those of non-HIV patients.",0.948,تناقض این دو جمله در این است که در اولی MIC فلوکونازول بالا ولی برای آمفوتریسین B و وریکونازول پایین گزارش شده است، یعنی فقط نسبت به فلوکونازول مقاومت وجود دارد و نسبت به دو داروی دیگر حساسیت حفظ شده است؛ اما در دومی ایزوله‌های به‌دست‌آمده از بیماران HIV مثبت MIC بالاتری برای فلوکونازول، وریکونازول و آمفوتریسین B نشان داده‌اند، یعنی مقاومت هم‌زمان به هر سه دارو دیده شده است. به‌عبارت دیگر، یکی حساسیت بالا به آمفوتریسین B و وریکونازول را گزارش می‌کند و دیگری مقاومت بالا به همان داروها را.
Voriconazole,Fluconazole,"furfur obtained from HIV-positive or negative patients, with or without seborrheic dermatitis.


MATERIALS AND METHODS
Assessment of isolates sensitivity to itraconazole, voriconazole, fluconazole, and amphotericin B was performed by two techniques: (1) Broth microdilution using Clinical and Laboratory Standards Institute (CLSI) protocol M27-A3 with modifications; and (2) agar tests using Etest®.


RESULTS
Isolates obtained from HIV patients showed an increase in the minimum inhibitory concentration of fluconazole, voriconazole, and amphotericin B, compared with those of non-HIV patients.","The isolated strains presented high minimal inhibitory concentration for fluconazole, while MICs for amphotericin B, voriconazole and echinocandins were low.",0.948,تناقض این دو جمله در این است که در اولی ایزوله‌های به‌دست‌آمده از بیماران HIV مثبت MIC بالاتری برای فلوکونازول، وریکونازول و آمفوتریسین B نشان داده‌اند، یعنی نسبت به این سه دارو مقاوم‌تر بوده‌اند؛ در حالی‌که در دومی MIC فلوکونازول بالا ولی برای آمفوتریسین B و وریکونازول پایین گزارش شده است، یعنی نسبت به همان داروها حساسیت وجود دارد.
Voriconazole,Fluconazole,"The isolated strains presented high minimal inhibitory concentration for fluconazole, while MICs for amphotericin B, voriconazole and echinocandins were low.","furfur obtained from HIV-positive or negative patients, with or without seborrheic dermatitis.


MATERIALS AND METHODS
Assessment of isolates sensitivity to itraconazole, voriconazole, fluconazole, and amphotericin B was performed by two techniques: (1) Broth microdilution using Clinical and Laboratory Standards Institute (CLSI) protocol M27-A3 with modifications; and (2) agar tests using Etest®.


RESULTS
Isolates obtained from HIV patients showed an increase in the minimum inhibitory concentration of fluconazole, voriconazole, and amphotericin B, compared with those of non-HIV patients.",0.948,تناقض این دو جمله در این است که در اولی MIC فلوکونازول بالا و MIC آمفوتریسین B و وریکونازول پایین گزارش شده است، یعنی سویه‌ها نسبت به فلوکونازول مقاوم اما نسبت به آمفوتریسین B و وریکونازول حساس بوده‌اند؛ در حالی‌که در دومی ایزوله‌های بیماران HIV مثبت MIC بالاتری برای هر سه دارو—فلوکونازول، وریکونازول و آمفوتریسین B—نشان داده‌اند، یعنی نسبت به همه‌ی آن‌ها مقاومت افزایش یافته است. به بیان ساده، یکی از حساسیت به آمفوتریسین B و وریکونازول سخن می‌گوید و دیگری از مقاومت نسبت به همان داروها.
Voriconazole,Itraconazole,"The isolated strains presented high minimal inhibitory concentration for fluconazole, while MICs for amphotericin B, voriconazole and echinocandins were low.","furfur obtained from HIV-positive or negative patients, with or without seborrheic dermatitis.


MATERIALS AND METHODS
Assessment of isolates sensitivity to itraconazole, voriconazole, fluconazole, and amphotericin B was performed by two techniques: (1) Broth microdilution using Clinical and Laboratory Standards Institute (CLSI) protocol M27-A3 with modifications; and (2) agar tests using Etest®.


RESULTS
Isolates obtained from HIV patients showed an increase in the minimum inhibitory concentration of fluconazole, voriconazole, and amphotericin B, compared with those of non-HIV patients.",0.948,یکی حساسیت بالا به آمفوتریسین B و وریکونازول را بیان می‌کند و دیگری افزایش مقاومت به همان داروها را — که از نظر الگوی ضدقارچی متناقض است.
Metformin,Ranitidine,"Over 80% of skin cancer is due to acquired mutations, and nitrosamines, which are contained as contamination in certain batches of the most commonly distributed drugs worldwide (such as sartans, ACE inhibitors, ranitidine, metformin, hydrochlorothiazide, rifampicin, and a number of others.) are considered among the most powerful external mutagens, carcinogens.",These effects were prevented by ranitidine (H2 receptor antagonist) pre-treatment.,0.878,تناقض در این است که در اولی رانیتیدین به‌عنوان ترکیبی سرطان‌زا و جهش‌زا معرفی شده، اما در دومی همان دارو اثر محافظتی و پیشگیری‌کننده نشان داده است.
Dabigatran,Rivaroxaban,"Meta-analyses showed that for both sexes, DOAC versus warfarin was generally associated with lower risk of stroke/SE, major bleeding and ICH; in DOAC-DOAC comparisons, rivaroxaban versus dabigatran had higher GIB risk.","The only sex-specific difference observed was that when compared with warfarin, women had higher GIB risk with rivaroxaban (women: pooled risk ratio (pRR)=1.34, 95% CI=1.18 to 1.51; men: pRR=0.97, 95% CI=0.85 to 1.10; p value for interaction (p for interaction)<0.001) and possibly dabigatran (women: pRR=1.25, 95% CI=0.92 to 1.70; men: pRR=0.83, 95% CI=0.72 to 0.97; p-for-interaction=0.02).",0.863,تناقض در این است که در اولی مصرف DOACها نسبت به وارفارین با خطر کمتر خون‌ریزی عمده و گوارشی همراه است، اما در دومی ریواروکسابان (و احتمالاً دابیگاتران) در زنان نسبت به وارفارین خطر بالاتر خون‌ریزی گوارشی نشان داده‌اند؛ یعنی یکی کاهش خطر و دیگری افزایش خطر را برای همان مقایسه گزارش می‌کند.
